Время,X,Y,Z,Курс,Целевой_курс,Расстояние,Мощность_0,Мощность_1,Мощность_2,Мощность_3,Номер_точки
0.0,0.023,0.01,2.009,359.75,0.0,5.007,0.358,0.369,0.108,0.125,0
1.01,0.079,0.007,1.966,0.41,0.0,0.087,0.283,0.374,0.159,0.138,2
2.02,0.164,-0.01,2.002,0.88,0.0,0.052,0.361,0.338,0.09,0.074,2
3.03,0.23,-0.008,1.982,0.92,0.0,0.086,0.35,0.363,0.109,0.116,2
4.03,0.352,0.001,2.003,359.8,0.0,0.069,0.348,0.297,0.12,0.114,2
5.04,0.43,-0.002,1.985,359.26,0.0,0.091,0.306,0.289,0.105,0.164,2
6.05,0.501,0.014,2.009,0.04,0.0,0.066,0.271,0.341,0.142,0.106,2
7.06,0.594,0.007,2.035,359.04,0.0,0.109,0.34,0.32,0.119,0.107,2
8.07,0.674,-0.003,1.961,359.33,0.0,0.185,0.363,0.372,0.133,0.09,2
9.08,0.75,0.005,2.028,357.56,0.0,0.155,0.404,0.35,0.065,0.101,2
10.08,0.848,-0.018,1.94,0.1,0.0,0.051,0.395,0.373,0.142,0.114,2
11.09,0.92,0.003,1.935,358.77,0.0,0.078,0.408,0.361,0.141,0.123,2
12.1,1.004,0.008,1.996,359.33,0.0,0.073,0.365,0.357,0.103,0.114,2
13.11,1.084,-0.002,2.0,359.94,0.0,0.118,0.396,0.352,0.144,0.159,2
14.12,1.179,-0.006,2.013,0.38,0.0,0.053,0.342,0.334,0.123,0.128,2
15.13,1.258,0.005,1.951,2.27,0.0,0.063,0.375,0.33,0.137,0.131,2
16.13,1.348,0.018,1.998,0.25,0.0,0.082,0.387,0.43,0.154,0.146,2
17.14,1.421,0.002,2.004,358.3,0.0,0.063,0.458,0.278,0.12,0.131,2
18.15,1.512,-0.01,2.038,0.16,0.0,0.08,0.36,0.341,0.098,0.107,2
19.16,1.586,0.013,1.997,359.29,0.0,0.167,0.299,0.389,0.118,0.087,2
20.17,1.686,-0.017,2.016,0.48,0.0,0.104,0.405,0.365,0.093,0.125,2
21.18,1.764,0.005,1.971,359.18,0.0,0.065,0.318,0.405,0.102,0.101,2
22.19,1.849,-0.005,1.994,359.15,0.0,0.097,0.348,0.371,0.103,0.145,2
23.19,1.934,0.008,1.987,359.39,0.0,0.065,0.338,0.298,0.104,0.103,2
24.2,2.005,-0.008,2.021,359.25,0.0,0.083,0.314,0.335,0.141,0.073,2
25.21,2.105,0.012,1.97,357.81,0.0,0.159,0.403,0.292,0.135,0.119,2
26.22,2.2,0.003,1.975,359.2,0.0,0.094,0.374,0.388,0.1,0.14,2
27.23,2.251,-0.016,2.017,359.98,0.0,0.134,0.326,0.406,0.141,0.114,2
28.24,2.334,-0.018,2.054,1.44,0.0,0.061,0.353,0.331,0.085,0.122,2
29.24,2.42,-0.003,2.011,359.65,0.0,0.056,0.333,0.37,0.105,0.121,2
30.25,2.525,0.012,2.009,359.55,0.0,0.117,0.375,0.332,0.116,0.153,2
31.26,2.603,0.001,1.99,0.7,0.0,0.11,0.335,0.291,0.142,0.124,2
32.27,2.695,0.001,2.033,0.65,0.0,0.058,0.319,0.331,0.133,0.117,2
33.28,2.776,-0.002,2.016,1.92,0.0,0.088,0.324,0.285,0.127,0.106,2
34.29,2.855,0.007,2.052,0.7,0.0,0.071,0.333,0.326,0.145,0.085,2
35.29,2.94,0.003,2.01,359.98,0.0,0.104,0.362,0.357,0.133,0.147,2
36.3,3.02,0.003,1.972,1.61,0.0,0.139,0.313,0.377,0.146,0.141,2
37.31,3.113,-0.009,1.983,1.84,0.0,0.077,0.346,0.4,0.103,0.099,2
38.32,3.179,0.011,1.97,359.43,0.0,0.082,0.368,0.335,0.085,0.13,2
39.33,3.269,0.012,1.962,0.19,0.0,0.101,0.443,0.358,0.11,0.125,2
40.34,3.359,-0.012,2.038,357.98,0.0,0.069,0.384,0.365,0.135,0.11,2
41.35,3.457,0.021,2.024,359.56,0.0,0.07,0.231,0.37,0.124,0.112,2
42.35,3.518,0.007,1.963,358.94,0.0,0.064,0.33,0.234,0.136,0.133,2
43.36,3.599,-0.004,2.053,359.74,0.0,0.08,0.334,0.317,0.133,0.094,2
44.37,3.687,-0.017,2.007,359.42,0.0,0.064,0.363,0.38,0.129,0.107,2
45.38,3.785,0.006,1.971,359.8,0.0,0.1,0.413,0.303,0.135,0.116,2
46.39,3.858,0.005,2.012,359.88,0.0,0.115,0.38,0.358,0.104,0.118,2
47.4,3.956,-0.005,1.998,0.59,0.0,0.076,0.258,0.381,0.141,0.114,2
48.4,4.011,-0.016,1.977,0.28,0.0,0.167,0.362,0.272,0.099,0.122,2
49.41,4.122,0.01,1.942,359.33,0.0,0.135,0.354,0.34,0.116,0.129,2
50.42,4.205,-0.005,2.001,358.45,0.0,0.058,0.367,0.357,0.09,0.1,2
51.43,4.267,-0.004,2.009,1.48,0.0,0.053,0.404,0.348,0.129,0.12,2
52.44,4.365,0.026,1.923,1.7,0.0,0.158,0.306,0.287,0.088,0.107,2
53.45,4.459,0.019,2.017,359.45,0.0,0.052,0.394,0.362,0.147,0.149,2
54.46,4.532,0.009,2.019,0.67,0.0,0.058,0.284,0.325,0.092,0.089,2
55.46,4.625,-0.004,1.986,358.17,0.0,0.097,0.352,0.381,0.124,0.113,2
56.47,4.721,0.006,2.003,358.13,0.0,0.103,0.365,0.365,0.116,0.132,2
