Время,X,Y,Z,Курс,Целевой_курс,Расстояние,Мощность_0,Мощность_1,Мощность_2,Мощность_3,Номер_точки
0.0,0.009,-0.002,1.963,357.48,0.0,4.063,0.361,0.315,0.124,0.096,0
1.01,0.07,-0.013,1.991,358.74,0.0,0.059,0.321,0.371,0.136,0.129,3
2.01,0.162,-0.008,2.01,359.38,0.0,0.157,0.396,0.373,0.111,0.098,3
3.02,0.223,0.0,1.926,359.53,0.0,0.072,0.375,0.311,0.141,0.107,3
4.03,0.269,-0.001,2.002,359.75,0.0,0.083,0.428,0.37,0.133,0.134,3
5.03,0.359,-0.0,1.973,0.36,0.0,0.109,0.336,0.342,0.105,0.107,3
6.04,0.424,0.0,1.962,359.19,0.0,0.089,0.358,0.334,0.114,0.111,3
7.05,0.505,0.006,1.955,357.61,0.0,0.071,0.324,0.358,0.123,0.119,3
8.05,0.557,-0.015,1.97,0.18,0.0,0.056,0.403,0.34,0.096,0.123,3
9.06,0.649,-0.012,1.973,0.51,0.0,0.051,0.321,0.259,0.1,0.146,3
10.07,0.721,0.013,2.006,358.6,0.0,0.127,0.352,0.357,0.131,0.088,3
11.07,0.808,0.009,1.957,359.05,0.0,0.157,0.406,0.304,0.131,0.113,3
12.08,0.866,-0.006,2.026,2.12,0.0,0.125,0.374,0.345,0.147,0.132,3
13.09,0.94,0.015,1.971,1.24,0.0,0.085,0.364,0.376,0.096,0.111,3
14.09,0.989,-0.008,2.016,1.31,0.0,0.097,0.363,0.339,0.114,0.113,3
15.1,1.103,-0.003,2.028,0.81,0.0,0.127,0.366,0.331,0.082,0.105,3
16.11,1.128,-0.021,1.959,0.18,0.0,0.084,0.379,0.354,0.155,0.114,3
17.11,1.234,0.01,2.028,359.38,0.0,0.094,0.339,0.368,0.096,0.133,3
18.12,1.29,-0.0,2.061,0.69,0.0,0.072,0.27,0.315,0.116,0.144,3
19.13,1.355,0.012,1.983,359.76,0.0,0.08,0.407,0.323,0.158,0.127,3
20.13,1.43,0.008,2.014,359.47,0.0,0.116,0.308,0.368,0.149,0.146,3
21.14,1.501,0.001,1.993,359.98,0.0,0.071,0.428,0.412,0.104,0.122,3
22.15,1.585,0.002,2.0,359.9,0.0,0.058,0.364,0.348,0.165,0.089,3
23.15,1.651,0.014,1.992,1.07,0.0,0.138,0.483,0.383,0.13,0.135,3
24.16,1.741,-0.002,1.983,358.84,0.0,0.072,0.401,0.319,0.101,0.082,3
25.17,1.776,-0.002,2.02,3.01,0.0,0.088,0.369,0.349,0.126,0.119,3
26.17,1.868,0.001,2.025,358.78,0.0,0.106,0.39,0.351,0.133,0.12,3
27.18,1.93,0.009,1.998,359.48,0.0,0.072,0.294,0.297,0.133,0.099,3
28.19,2.02,0.011,2.044,1.14,0.0,0.058,0.359,0.347,0.08,0.116,3
29.19,2.06,0.022,2.031,358.99,0.0,0.097,0.337,0.341,0.156,0.11,3
30.2,2.152,-0.001,2.02,359.42,0.0,0.092,0.352,0.246,0.09,0.123,3
31.21,2.23,0.014,1.977,0.03,0.0,0.056,0.267,0.344,0.117,0.114,3
32.21,2.282,-0.007,2.056,356.42,0.0,0.109,0.26,0.359,0.148,0.132,3
33.22,2.382,0.007,2.039,359.39,0.0,0.097,0.381,0.357,0.128,0.113,3
34.23,2.445,0.002,1.935,358.83,0.0,0.055,0.353,0.36,0.12,0.132,3
35.23,2.526,0.02,1.966,359.7,0.0,0.105,0.333,0.303,0.109,0.12,3
36.24,2.597,0.007,1.985,0.6,0.0,0.112,0.347,0.318,0.132,0.125,3
37.25,2.647,-0.005,2.028,0.77,0.0,0.061,0.324,0.339,0.147,0.122,3
38.25,2.721,0.007,2.037,1.81,0.0,0.067,0.331,0.312,0.11,0.111,3
39.26,2.8,0.004,1.991,1.74,0.0,0.09,0.379,0.328,0.129,0.141,3
40.27,2.882,-0.003,2.007,1.25,0.0,0.112,0.341,0.396,0.113,0.131,3
41.27,2.955,-0.003,2.021,359.95,0.0,0.146,0.379,0.312,0.113,0.077,3
42.28,3.01,-0.01,1.961,1.26,0.0,0.142,0.321,0.333,0.081,0.097,3
43.29,3.083,0.032,2.018,358.8,0.0,0.053,0.275,0.42,0.126,0.152,3
44.29,3.152,0.002,1.991,359.89,0.0,0.116,0.323,0.342,0.139,0.115,3
45.3,3.227,0.012,2.005,1.74,0.0,0.101,0.344,0.307,0.118,0.173,3
46.31,3.302,-0.013,1.998,0.96,0.0,0.099,0.303,0.357,0.141,0.128,3
47.31,3.375,-0.012,1.964,358.31,0.0,0.079,0.334,0.354,0.124,0.129,3
48.32,3.472,-0.001,1.97,359.29,0.0,0.111,0.329,0.353,0.145,0.111,3
49.33,3.515,-0.001,2.001,1.1,0.0,0.086,0.388,0.282,0.124,0.116,3
50.33,3.589,0.01,2.004,0.75,0.0,0.101,0.385,0.359,0.114,0.123,3
51.34,3.669,-0.011,1.992,1.31,0.0,0.132,0.395,0.363,0.112,0.137,3
52.35,3.725,0.007,2.032,357.87,0.0,0.134,0.318,0.43,0.123,0.122,3
53.35,3.804,0.018,1.989,358.76,0.28,0.05,0.364,0.375,0.127,0.119,3
54.36,3.883,-0.006,1.963,5.15,5.44,0.106,0.403,0.331,0.106,0.102,3
55.37,3.98,0.032,1.99,25.9,27.07,0.074,0.357,0.361,0.118,0.111,3
56.37,3.999,0.041,1.995,64.23,64.25,0.069,0.347,0.376,0.096,0.112,3
57.38,4.022,0.095,1.996,116.66,116.64,0.072,0.318,0.344,0.095,0.117,3
58.39,3.996,0.151,2.035,90.76,90.32,0.117,0.384,0.348,0.134,0.106,3
59.39,4.002,0.229,2.015,89.86,90.0,0.058,0.357,0.404,0.128,0.099,3
60.4,4.01,0.265,2.032,90.7,90.0,0.112,0.391,0.369,0.139,0.114,3
61.41,4.007,0.337,2.019,90.96,90.0,0.051,0.343,0.371,0.124,0.073,3
62.41,4.012,0.41,1.995,90.21,90.0,0.074,0.435,0.312,0.126,0.091,3
63.42,4.002,0.448,2.031,88.54,90.0,0.068,0.348,0.368,0.157,0.104,3
64.43,4.0,0.524,1.992,91.58,90.0,0.091,0.299,0.276,0.105,0.126,3
