Время,X,Y,Z,Курс,Целевой_курс,Расстояние,Мощность_0,Мощность_1,Мощность_2,Мощность_3,Номер_точки
0.0,0.025,0.002,1.984,0.93,359.01,5.107,0.386,0.292,0.101,0.077,0
1.01,0.091,-0.003,1.962,356.28,359.01,0.096,0.392,0.381,0.089,0.134,1
2.02,0.172,-0.005,2.016,359.33,359.02,0.064,0.387,0.361,0.14,0.099,1
3.03,0.274,-0.011,1.966,357.72,359.04,0.052,0.329,0.329,0.118,0.097,1
4.04,0.361,-0.005,1.978,359.76,359.05,0.074,0.353,0.385,0.152,0.132,1
5.05,0.445,-0.015,2.011,357.5,359.07,0.089,0.343,0.315,0.096,0.102,1
6.05,0.54,-0.007,2.012,358.49,359.09,0.059,0.422,0.376,0.115,0.136,1
7.06,0.629,-0.004,1.988,359.36,359.12,0.06,0.357,0.312,0.121,0.142,1
8.07,0.718,-0.022,1.939,359.88,359.14,0.142,0.275,0.371,0.147,0.084,1
9.08,0.806,-0.029,2.013,359.25,359.16,0.053,0.366,0.306,0.156,0.117,1
10.09,0.898,-0.013,2.008,358.25,359.21,0.118,0.425,0.41,0.106,0.088,1
11.1,0.981,-0.003,1.958,358.57,359.23,0.138,0.377,0.36,0.096,0.119,1
12.11,1.073,-0.024,2.023,0.34,359.28,0.054,0.385,0.407,0.084,0.138,1
13.12,1.161,-0.027,1.979,359.3,359.31,0.13,0.351,0.317,0.146,0.092,1
14.13,1.257,-0.018,1.966,357.35,359.37,0.086,0.271,0.331,0.117,0.156,1
15.14,1.343,-0.027,2.003,0.41,359.4,0.071,0.278,0.384,0.106,0.114,1
16.14,1.431,-0.026,1.995,359.93,359.43,0.063,0.3,0.24,0.118,0.096,1
17.15,1.518,-0.026,2.006,0.55,359.5,0.051,0.345,0.307,0.068,0.117,1
18.16,1.61,-0.021,1.952,359.13,359.53,0.062,0.362,0.391,0.084,0.136,1
19.17,1.701,-0.027,2.054,0.6,359.6,0.06,0.378,0.369,0.138,0.092,1
20.18,1.789,-0.024,1.982,358.37,359.64,0.057,0.336,0.389,0.127,0.12,1
21.19,1.887,-0.027,1.954,0.4,359.71,0.072,0.388,0.338,0.122,0.092,1
22.2,1.975,-0.031,2.019,359.16,359.75,0.094,0.339,0.373,0.099,0.144,1
23.21,2.044,-0.029,1.989,0.6,359.79,0.05,0.322,0.321,0.131,0.123,1
24.22,2.138,-0.033,2.01,1.07,359.87,0.126,0.384,0.295,0.155,0.111,1
25.23,2.237,-0.027,1.99,359.02,359.91,0.063,0.313,0.282,0.094,0.14,1
26.23,2.325,-0.034,1.998,359.92,359.99,0.081,0.241,0.328,0.119,0.094,1
27.24,2.418,-0.034,2.007,0.07,0.02,0.058,0.308,0.328,0.11,0.112,1
28.25,2.508,-0.019,1.978,1.53,0.1,0.064,0.354,0.325,0.126,0.157,1
29.26,2.608,-0.027,2.02,0.99,0.14,0.079,0.227,0.208,0.119,0.117,1
