Время,X,Y,Z,Курс,Целевой_курс,Расстояние,Мощность_0,Мощность_1,Мощность_2,Мощность_3,Номер_точки
0.0,0.045,-0.004,1.986,1.0,0.0,7.025,0.312,0.325,0.12,0.109,0
1.01,0.071,0.001,2.028,0.87,0.0,0.171,0.34,0.309,0.126,0.078,1
2.02,0.185,-0.006,2.046,359.16,0.0,0.112,0.43,0.422,0.101,0.129,1
3.03,0.268,-0.004,2.001,359.9,0.0,0.095,0.342,0.358,0.123,0.12,1
4.04,0.36,-0.006,1.966,359.86,0.0,0.051,0.309,0.313,0.144,0.099,1
5.05,0.453,-0.003,1.961,2.08,0.0,0.058,0.326,0.306,0.121,0.1,1
6.06,0.53,0.007,1.999,3.11,0.0,0.058,0.341,0.372,0.141,0.107,1
7.07,0.635,-0.003,2.026,359.88,0.0,0.168,0.282,0.319,0.141,0.123,1
8.08,0.721,-0.001,2.008,0.02,0.0,0.088,0.355,0.329,0.128,0.134,1
9.09,0.845,0.006,2.016,357.26,0.0,0.082,0.378,0.349,0.128,0.091,1
10.1,0.911,0.005,1.987,0.25,0.0,0.058,0.363,0.356,0.113,0.167,1
11.11,0.997,0.013,2.009,359.99,0.0,0.057,0.374,0.356,0.145,0.12,1
12.12,1.089,-0.016,1.986,358.71,0.0,0.094,0.298,0.357,0.111,0.113,1
13.13,1.177,0.007,1.99,0.94,0.0,0.065,0.282,0.405,0.106,0.134,1
14.14,1.265,-0.004,1.961,358.12,0.0,0.09,0.401,0.421,0.134,0.123,1
15.15,1.361,0.001,1.953,359.74,0.0,0.077,0.394,0.287,0.106,0.168,1
16.16,1.459,0.007,1.986,0.17,0.0,0.12,0.288,0.456,0.129,0.143,1
17.17,1.544,0.009,1.967,358.5,0.0,0.066,0.358,0.358,0.141,0.114,1
18.18,1.644,0.008,1.971,1.03,0.0,0.118,0.351,0.403,0.122,0.113,1
19.18,1.726,0.001,2.02,1.27,0.0,0.063,0.372,0.323,0.122,0.111,1
20.19,1.819,0.013,1.997,358.34,0.0,0.077,0.358,0.366,0.139,0.114,1
21.2,1.922,-0.002,2.087,358.31,0.0,0.126,0.33,0.362,0.135,0.134,1
22.21,2.005,-0.001,2.028,0.72,0.0,0.091,0.358,0.357,0.089,0.108,1
23.22,2.087,0.006,1.981,359.96,0.0,0.101,0.356,0.387,0.094,0.153,1
24.23,2.181,-0.004,2.023,358.55,0.0,0.075,0.348,0.378,0.147,0.119,1
25.24,2.278,0.017,2.011,359.65,0.0,0.073,0.276,0.313,0.128,0.118,1
26.25,2.379,0.008,1.979,359.87,0.0,0.112,0.23,0.348,0.079,0.14,1
27.26,2.453,0.017,2.033,359.83,0.0,0.092,0.318,0.382,0.093,0.081,1
28.27,2.544,-0.0,1.977,0.99,0.0,0.103,0.285,0.38,0.121,0.102,1
29.28,2.645,-0.003,1.908,0.46,0.0,0.059,0.36,0.34,0.101,0.133,1
30.29,2.721,0.001,2.024,2.12,0.0,0.052,0.379,0.342,0.13,0.121,1
31.3,2.817,0.006,1.981,1.65,0.0,0.072,0.361,0.347,0.122,0.121,1
32.31,2.917,-0.005,2.045,0.81,0.0,0.072,0.335,0.309,0.13,0.129,1
33.32,3.005,0.003,1.981,1.29,0.0,0.12,0.353,0.302,0.097,0.109,1
34.33,3.092,-0.0,1.965,1.59,0.0,0.106,0.397,0.416,0.133,0.117,1
35.34,3.188,0.013,2.046,0.85,0.0,0.058,0.321,0.337,0.16,0.094,1
36.35,3.251,-0.005,1.968,358.53,0.0,0.092,0.387,0.357,0.104,0.083,1
37.36,3.373,0.008,2.006,1.03,0.0,0.085,0.378,0.323,0.147,0.146,1
38.37,3.448,-0.005,2.043,0.09,0.0,0.054,0.36,0.405,0.14,0.102,1
39.38,3.533,-0.008,2.003,1.94,0.0,0.057,0.408,0.423,0.133,0.107,1
40.39,3.639,-0.006,1.998,0.11,0.0,0.061,0.321,0.344,0.119,0.149,1
41.4,3.734,-0.009,2.003,0.63,0.0,0.133,0.388,0.374,0.097,0.142,1
42.41,3.816,0.001,2.025,0.4,0.0,0.101,0.313,0.323,0.103,0.11,1
43.42,3.902,0.008,1.976,2.02,0.0,0.111,0.319,0.424,0.136,0.11,1
44.43,4.001,0.001,2.018,0.21,0.0,0.051,0.308,0.39,0.14,0.119,1
45.44,4.091,0.005,2.017,359.68,0.0,0.075,0.368,0.319,0.145,0.102,1
46.45,4.194,0.013,2.07,0.37,0.0,0.123,0.312,0.403,0.14,0.132,1
47.46,4.28,0.002,1.99,359.47,0.0,0.067,0.352,0.367,0.139,0.124,1
48.47,4.366,0.002,1.973,0.19,0.0,0.154,0.305,0.37,0.112,0.123,1
49.48,4.464,-0.002,2.022,359.99,0.0,0.079,0.393,0.367,0.096,0.136,1
50.49,4.545,-0.013,1.988,0.33,0.0,0.088,0.423,0.326,0.125,0.135,1
51.5,4.63,0.006,2.009,2.31,0.0,0.131,0.359,0.331,0.13,0.158,1
52.51,4.733,-0.014,2.004,359.51,0.0,0.098,0.416,0.378,0.122,0.151,1
53.52,4.824,0.005,2.035,0.04,0.0,0.093,0.372,0.351,0.09,0.087,1
54.53,4.909,-0.0,1.98,359.76,0.0,0.075,0.437,0.315,0.11,0.139,1
55.54,4.995,0.009,1.997,0.81,0.0,0.089,0.354,0.434,0.091,0.098,1
56.55,5.094,-0.001,1.923,358.58,0.0,0.091,0.287,0.344,0.123,0.092,1
57.55,5.163,-0.006,1.973,359.17,0.0,0.056,0.41,0.33,0.099,0.135,1
58.56,5.279,0.003,2.046,359.95,0.0,0.093,0.345,0.325,0.117,0.107,1
59.57,5.369,-0.004,1.98,0.66,0.0,0.179,0.309,0.38,0.127,0.114,1
60.58,5.443,-0.001,1.979,359.94,0.0,0.096,0.324,0.392,0.123,0.142,1
61.59,5.547,0.0,1.963,359.4,0.0,0.167,0.285,0.363,0.148,0.108,1
62.6,5.63,-0.001,2.017,358.96,0.0,0.059,0.343,0.388,0.098,0.103,1
63.61,5.735,-0.001,2.005,0.61,0.0,0.066,0.307,0.293,0.077,0.127,1
64.62,5.804,-0.007,1.964,1.73,0.0,0.117,0.409,0.338,0.139,0.145,1
65.63,5.903,-0.001,2.02,0.39,0.0,0.136,0.377,0.334,0.149,0.131,1
66.64,6.007,-0.017,2.008,0.23,0.0,0.078,0.284,0.353,0.149,0.09,1
67.65,6.102,-0.001,2.023,0.53,0.0,0.054,0.29,0.372,0.126,0.108,1
68.66,6.166,-0.009,1.981,358.87,0.0,0.122,0.327,0.271,0.131,0.118,1
69.67,6.27,0.009,2.052,359.63,0.0,0.06,0.273,0.478,0.123,0.159,1
70.68,6.368,0.01,2.012,359.68,0.0,0.094,0.346,0.318,0.095,0.139,1
71.69,6.451,-0.015,1.996,0.35,0.0,0.054,0.348,0.366,0.109,0.138,1
72.7,6.56,0.001,1.984,359.96,0.0,0.078,0.319,0.386,0.131,0.145,1
73.71,6.629,-0.001,1.993,358.54,0.0,0.12,0.328,0.387,0.109,0.115,1
74.72,6.732,-0.008,2.026,1.49,0.14,0.068,0.37,0.362,0.159,0.13,1
75.73,6.814,0.009,1.992,4.9,2.87,0.09,0.407,0.236,0.09,0.131,1
76.74,6.932,0.013,2.032,7.23,7.55,0.08,0.41,0.309,0.112,0.101,1
77.75,6.968,0.034,2.017,93.99,93.51,0.063,0.351,0.383,0.143,0.12,1
78.76,6.96,0.095,2.04,129.41,129.09,0.114,0.384,0.315,0.108,0.132,1
79.77,6.896,0.162,2.024,124.23,123.29,0.138,0.32,0.31,0.098,0.099,1
80.78,6.874,0.239,1.998,118.62,120.39,0.053,0.366,0.258,0.093,0.137,1
81.79,6.821,0.308,1.943,122.19,120.26,0.057,0.312,0.401,0.106,0.136,1
82.8,6.775,0.401,2.009,119.7,120.26,0.087,0.379,0.372,0.151,0.141,1
83.81,6.732,0.481,2.024,121.77,120.26,0.158,0.3,0.316,0.129,0.105,1
84.82,6.68,0.545,2.005,120.35,120.26,0.053,0.311,0.346,0.131,0.123,1
85.83,6.626,0.628,2.017,119.79,120.26,0.057,0.35,0.348,0.11,0.15,1
86.84,6.578,0.711,1.986,120.09,120.26,0.069,0.372,0.307,0.138,0.137,1
87.85,6.532,0.786,1.989,121.33,120.26,0.117,0.292,0.34,0.123,0.105,1
88.86,6.503,0.883,1.972,119.22,120.26,0.074,0.329,0.361,0.102,0.125,1
89.87,6.435,0.95,2.041,119.81,120.26,0.142,0.355,0.373,0.112,0.149,1
90.88,6.396,1.02,2.005,119.68,120.26,0.067,0.359,0.402,0.125,0.119,1
91.89,6.352,1.1,1.985,118.2,120.26,0.06,0.316,0.352,0.144,0.128,1
92.9,6.31,1.185,1.96,121.82,120.26,0.057,0.354,0.333,0.119,0.172,1
93.91,6.267,1.282,1.995,120.95,120.26,0.114,0.339,0.367,0.131,0.12,1
94.91,6.207,1.342,2.043,120.23,120.26,0.133,0.406,0.326,0.161,0.119,1
95.92,6.157,1.423,2.014,121.65,120.26,0.077,0.372,0.301,0.105,0.101,1
96.93,6.124,1.505,1.978,119.11,120.26,0.067,0.297,0.397,0.096,0.108,1
97.94,6.088,1.58,2.043,120.17,120.26,0.051,0.262,0.336,0.14,0.15,1
98.95,6.038,1.677,2.043,122.33,120.26,0.136,0.354,0.356,0.129,0.118,1
99.96,5.988,1.734,2.029,121.43,120.26,0.139,0.397,0.377,0.119,0.097,1
100.97,5.938,1.823,2.024,117.59,120.26,0.195,0.357,0.306,0.126,0.102,1
101.98,5.896,1.897,2.035,116.26,120.26,0.068,0.385,0.376,0.114,0.121,1
102.99,5.846,1.98,2.016,119.01,120.26,0.155,0.331,0.369,0.131,0.136,1
104.0,5.808,2.044,2.023,121.53,120.26,0.058,0.295,0.347,0.114,0.106,1
105.01,5.75,2.146,1.977,119.69,120.26,0.062,0.38,0.367,0.137,0.135,1
106.02,5.711,2.211,2.045,120.0,120.26,0.109,0.354,0.32,0.097,0.111,1
107.03,5.663,2.291,2.007,120.99,120.26,0.118,0.377,0.263,0.104,0.128,1
108.04,5.622,2.362,2.061,119.19,120.26,0.115,0.295,0.339,0.123,0.131,1
